Nom;Reference;Categorie;Prix;Prix promo;Stock;Description;Couleur;Dimensions;Image
Affleureuse / défonceuse électrique DW08528 — 440 W — diamètre de base 6 mm;DW08528;Machine;135.000;;2;"<div class=""ck-content""><p>Affleureuse / défonceuse électrique DW08528 — 440 W</p><p>&nbsp;</p><p>Affleureuse électrique compacte conçue pour les travaux de finition, d’affleurage et de petites opérations de fraisage avec l’accessoire adapté. Son format facilite le travail précis sur les chants et les surfaces de panneaux.</p><p>&nbsp;</p><p>Caractéristiques techniques</p><p>Modèle : DW08528</p><p>Diamètre de base : 6 mm</p><p>Puissance : 440 W</p><p>Tension : 220–240 V, 50/60 Hz</p><p>Vitesse à vide : 30 000 tr/min</p><p>Poids : environ 1,8 kg</p><p>&nbsp;</p><p>Vérifiez la compatibilité de la fraise et respectez les consignes de sécurité avant toute utilisation. Portez une protection oculaire et maintenez fermement la pièce.</p><p>&nbsp;</p><p>التفاصيل بالعربية</p><p>&nbsp;</p><p>ماكينة تشذيب وحفر كهربائية DW08528 — قدرة 440 واط</p><p>&nbsp;</p><p>ماكينة كهربائية مدمجة مخصصة لأعمال التشذيب والتنعيم والعمليات الخفيفة باستعمال الملحق المناسب. يساعد تصميمها على إنجاز أعمال دقيقة على حواف الألواح والأسطح.</p><p>&nbsp;</p><p>المواصفات التقنية:</p><p>الموديل: DW08528</p><p>قطر القاعدة: 6 مم</p><p>القدرة: 440 واط</p><p>الجهد: 220–240 فولت، 50/60 هرتز</p><p>السرعة دون حمل: 30,000 دورة في الدقيقة</p><p>الوزن: حوالي 1.8 كغ</p><p>&nbsp;</p><p>يجب التأكد من توافق رأس القطع واتباع تعليمات السلامة قبل الاستعمال. يُنصح بارتداء واقي العين وتثبيت قطعة العمل جيداً.</p></div>";;;https://cdn.converty.shop/images/d30157a6895f36db03e9fb760172492c5822f681a91d8ba69fc9419d44f8f4c4_lg.webp
Pince gabarit de perçage pour vis d’assemblage — 2 options;GABARIT-PERCAGE-VIS-ASSEMBLAGE;Accessoires utiles;95.000;70.000;10;"<div class=""ck-content""><h2>Pince gabarit de perçage pour vis d’assemblage — 2 options</h2><p>Pince gabarit manuelle conçue pour guider des perçages réguliers et correctement positionnés lors de l’assemblage de panneaux de meubles.</p><p><strong>Choisissez la configuration adaptée :</strong></p><p><strong>1. Vis d’assemblage — avec mèche :</strong> pince/gabarit avec la mèche de préparation correspondante.</p><p><strong>2. Vis d’assemblage — sans mèche :</strong> pince/gabarit seule, sans mèche incluse.</p><p>Maintenez correctement le panneau, réglez la butée et la profondeur, faites un essai sur une chute et portez une protection oculaire.</p><h3>التفاصيل بالعربية</h3><p><strong>كماشة/قالب حفر لبراغي التجميع — خياران</strong>، تساعد على إنجاز ثقوب منتظمة ودقيقة عند تجميع ألواح الأثاث.</p><p><strong>اختر الإعداد المناسب:</strong></p><p><strong>1. براغي التجميع — مع ريشة:</strong> كماشة/قالب مرفقة بريشة التحضير المناسبة.</p><p><strong>2. براغي التجميع — بدون ريشة:</strong> كماشة/قالب بدون ريشة مرفقة.</p><p>ثبّت اللوح جيداً، واضبط الحاجز وعمق الحفر، وجرب أولاً على قطعة غير ظاهرة واستعمل نظارات واقية.</p></div>";;;https://cdn.converty.shop/images/40bae0fb2b9e44c2783350e7d337413524ed3bfe04116b4115a62a79c7bb711b_lg.webp
Pince pour vis d’excentrique / Minifix — fiche seule;GABARIT-PERCAGE-VIS-EXCENTRIQUE;Accessoires utiles;95.000;75.000;5;"<div class=""ck-content""><h2>Pince pour vis d’excentrique / Minifix — fiche seule</h2><p>Pince gabarit manuelle conçue pour guider la préparation des perçages destinés aux assemblages par vis d’excentrique, également appelés connecteurs Cam Lock ou Minifix, sur les panneaux de meubles.</p><p>Cette fiche correspond uniquement à la configuration pour vis d’excentrique / Minifix. Elle permet de positionner correctement le gabarit, de régler la butée et la profondeur, puis de réaliser un perçage régulier sur un matériau compatible.</p><p><strong>Conseils d’utilisation :</strong> maintenir le panneau, vérifier le diamètre et la profondeur nécessaires, faire un essai sur une chute et porter une protection oculaire.</p><h3>التفاصيل بالعربية</h3><p><strong>كماشة/قالب حفر لبراغي اللامركزية / Minifix — منتج مستقل</strong></p><p>كماشة يدوية مخصصة لتوجيه وتحضير الثقوب اللازمة لوصلات التجميع اللامركزية، المعروفة أيضاً باسم Cam Lock أو Minifix، في ألواح الأثاث.</p><p>تخص هذه الصفحة إعداد البراغي اللامركزية / Minifix فقط. ثبّت القالب جيداً، واضبط الحاجز والعمق، ثم جرّب أولاً على قطعة غير ظاهرة قبل الاستعمال.</p><p><strong>نصيحة السلامة:</strong> تأكد من توافق القطر والعمق واستعمل نظارات واقية.</p></div>";;;https://cdn.converty.shop/images/f9fea8a9bf13d83bdee88a784c56f2c77625895fc069e2b0fb88f28a50c9c0dc_lg.webp
Clous sans couture à double tête pour plinthes et moulures — sachet de 100;CLOUS-DOUBLE-TETE-100;Accessoires utiles;35.000;20.000;1000;"<div class=""ck-content""><h2>Clous sans couture à double tête pour plinthes et moulures — sachet de 100</h2><p>Clous à double pointe pour une fixation discrète de plinthes, moulures, baguettes, panneaux décoratifs et petites pièces de finition. La conception sans tête apparente aide à obtenir une pose propre et peu visible.</p><p><strong>Conditionnement :</strong> 1 sachet contenant 100 clous. Le produit s’utilise avec le manchon ou tube de frappe adapté.</p><p><strong>Pose :</strong> engager une première pointe dans le support à l’aide du manchon, puis positionner la pièce de finition sur la seconde pointe et la mettre en place avec de petits coups contrôlés. Faire un essai sur une zone discrète et vérifier que le support convient.</p><p><strong>Applications :</strong> plinthes, moulures, baguettes, panneaux muraux légers, éléments de menuiserie et décoration. Ce produit ne remplace pas une fixation structurelle par vis et chevilles.</p><p><strong>Dimensions indicatives du visuel :</strong> longueur totale environ 25,5 mm, diamètre de pointe environ 2,5 mm et partie filetée environ 8,5 mm.</p><hr><h3>التفاصيل بالعربية</h3><div dir=""rtl"" lang=""ar""><p><strong>مسامير بدون أثر برأسين لتثبيت القواعد والكرانيش — كيس يحتوي على 100 مسمار</strong>، مخصصة للتثبيت غير الظاهر للقواعد والكرانيش والشرائط وألواح الزينة وقطع التشطيب الصغيرة.</p><p><strong>المحتوى:</strong> كيس واحد يحتوي على 100 مسمار. يستعمل المنتج مع الجلبة أو أنبوب الطرق المناسب.</p><p><strong>طريقة التركيب:</strong> أدخل الرأس الأول في السطح باستعمال الجلبة، ثم ضع قطعة التشطيب على الرأس الثاني وثبتها بضربات خفيفة ومحكومة. يجب إجراء تجربة أولاً في مكان غير ظاهر والتأكد من ملاءمة السطح.</p><p><strong>الاستخدامات:</strong> قواعد الأرضيات، الكرانيش، شرائط التشطيب، الألواح الجدارية الخفيفة، عناصر النجارة والديكور. لا يعوّض هذا المنتج التثبيت الإنشائي بالبراغي والمراسي.</p><p><strong>الأبعاد التقريبية الظاهرة في الصورة:</strong> طول إجمالي حوالي 25.5 مم، وقطر الرأس المدبب حوالي 2.5 مم، وجزء ملولب حوالي 8.5 مم.</p></div></div>";;;https://cdn.converty.shop/images/549496c3c73483280b2415e183376487071b08118bfd12c0df13e687e80659f3_lg.webp
Pince de maintien et d’alignement pour façades de tiroirs;PINCE-MAINTIEN-FACADES-TIROIRS;Accessoires utiles;75.000;55.000;10;"<h2>Pince de maintien et d’alignement pour façades de tiroirs</h2>
<p>Pince de montage réglable conçue pour maintenir une façade de tiroir contre son caisson pendant le positionnement, le contrôle des jeux et la fixation par vis. Elle permet de travailler plus facilement seul et de garder la façade stable pendant le montage.</p>
<p>Sa structure métallique en U, sa vis de serrage et son patin rond de protection permettent de maintenir différents panneaux dans la position souhaitée. Le patin aide à limiter le glissement et protège la surface lorsqu’il est correctement réglé.</p>
<p><strong>Utilisation :</strong> placer la pince sur le tiroir et la façade, régler la vis selon l’épaisseur du panneau, positionner la façade avec les jeux souhaités, puis serrer progressivement. Vérifier l’alignement et l’ouverture du tiroir avant de fixer les vis par l’intérieur.</p>
<p><strong>Applications :</strong> montage et remplacement de façades de tiroirs, réglage des recouvrements, alignement des jeux entre tiroirs, installation de façades sur meubles de cuisine, dressing, salle de bains et mobilier sur mesure.</p>
<p><strong>Dimensions indiquées sur le visuel :</strong> environ 12 cm de hauteur, 6,8 cm de longueur et 4,6 cm de profondeur. Vérifier la compatibilité avec l’épaisseur réelle du panneau avant utilisation.</p>
<p><strong>Conseils :</strong> ne pas serrer excessivement, protéger les surfaces fragiles avec une protection adaptée et effectuer un contrôle sur une zone non visible. Cette pince sert au maintien et à l’alignement ; elle ne remplace pas les vis ni le système de fixation définitif de la façade.</p>
<hr>
<h3>التفاصيل بالعربية</h3>
<div dir=""rtl"" lang=""ar"">
<p><strong>كماشة تثبيت ومحاذاة لواجهات الأدراج</strong>، قابلة للضبط ومخصصة لتثبيت واجهة الدرج مقابل الصندوق أثناء تحديد الموضع وضبط الفواصل وتثبيتها بالبراغي. تساعد على العمل بسهولة حتى من دون شخص مساعد وتحافظ على ثبات الواجهة أثناء التركيب.</p>
<p>تتكون من هيكل معدني على شكل U، وبرغي شد، ووسادة دائرية للحماية. تسمح بضبط الضغط حسب سماكة اللوح، وتساعد الوسادة على تقليل الانزلاق وحماية السطح عند ضبطها بشكل صحيح.</p>
<p><strong>طريقة الاستعمال:</strong> ضع الكماشة على الدرج والواجهة، واضبط البرغي حسب سماكة اللوح، ثم حدّد مكان الواجهة والفواصل المطلوبة وشدّ تدريجياً. افحص المحاذاة وحركة الدرج قبل تثبيت البراغي من الداخل.</p>
<p><strong>الاستخدامات:</strong> تركيب واستبدال واجهات الأدراج، ضبط التراكب والفواصل، محاذاة الأدراج، وتركيب واجهات خزائن المطابخ وغرف الملابس والحمامات والأثاث المصمم حسب الطلب.</p>
<p><strong>الأبعاد الظاهرة في الصورة:</strong> حوالي 12 سم ارتفاعاً و6.8 سم طولاً و4.6 سم عمقاً. يجب التأكد من توافقها مع سماكة اللوح قبل الاستعمال.</p>
<p><strong>نصائح:</strong> لا تشدّ البرغي بقوة مفرطة، واحمِ الأسطح الحساسة بوسيلة مناسبة، واختبر التثبيت في مكان غير ظاهر. هذه الكماشة مخصصة للتثبيت والمحاذاة ولا تعوّض البراغي أو نظام التثبيت النهائي للواجهة.</p>
</div>";;;https://cdn.converty.shop/images/47c251d0e64be185f5d868f37abad8fae49714eff0fbc634de71831d9dda60ae_lg.webp
Fraises de pliage en arc 1/2 — Profils R10 à R50;FRAISE-RAYON-12-7MM;Accessoires utiles;85.000;65.000;40;"<div class=""ck-content""><p>Fraises de pliage en arc pour défonceuse, avec queue 1/2 (12,7 mm).</p><p>Conçues pour usiner des profils et des rainures permettant de former des courbures régulières et des chants arrondis sur panneaux en bois, portes de meubles, caissons et autres éléments de menuiserie, selon le matériau, l’épaisseur et les réglages de la machine.</p><p><strong>Profils disponibles :</strong> R10, R18, R30 et R50.</p><p><strong>Queue :</strong> 1/2 (12,7 mm).</p><p><strong>Fonction principale :</strong> cintrage, profilage, rainurage et finition des chants — il ne s’agit pas d’une fraise d’assemblage dédiée.</p><p>Utiliser avec une défonceuse compatible et respecter les consignes de sécurité.</p><h3>التفاصيل بالعربية</h3><p>فرايز لتشكيل الانحناء القوسي، بعمود قياس 1/2 بوصة (12.7 مم)، مخصصة للاستعمال مع ماكينة راوتر متوافقة.</p><p>تُستعمل لإنجاز أخاديد وملفات تساعد على تشكيل الانحناءات المنتظمة والحواف الدائرية في ألواح الخشب وأبواب الأثاث والخزائن، حسب نوع المادة وسمكها وإعدادات الآلة.</p><p><strong>المقاسات المتوفرة:</strong> R10، R18، R30 وR50.</p><p><strong>العمود:</strong> 1/2 بوصة (12.7 مم).</p><p><strong>الوظيفة الرئيسية:</strong> تشكيل الانحناءات، التفريز، تشطيب الحواف وإنجاز الأخاديد، وليست فرازة مخصصة لوصل وتجميع الألواح.</p><p>تُستعمل مع ماكينة راوتر متوافقة، مع احترام تعليمات السلامة والإعدادات المناسبة للمادة.</p></div>";;;https://cdn.converty.shop/images/27f6fd03ab120e1014502d0b05115a21ea7d00562654731df3a4005e77aafcb0_lg.webp
Fraise à rainurer en V pour pliage de panneaux MDF et high gloss;FRAISE-ENTURES-MULTIPLES-12;Accessoires utiles;85.000;55.000;10;"<div class=""ck-content""><h2>Fraise à rainurer en V pour pliage de panneaux MDF et high gloss</h2>
<p>Fraise de défonceuse conçue pour réaliser des rainures en V rapprochées dans la face arrière des panneaux afin de permettre leur pliage et la formation d’un angle propre, tout en conservant la face décorative extérieure.</p>
<p>Elle convient particulièrement aux panneaux MDF, MDF laqué, panneaux high gloss, panneaux mélaminés, contreplaqué et autres panneaux à base de bois compatibles avec la fraise et la profondeur de coupe. Elle peut être utile aux menuisiers, fabricants de meubles, cuisinistes, aménageurs de dressings et artisans.</p>
<p><strong>Fonction principale :</strong> créer une ou plusieurs rainures en V régulières pour réduire localement l’épaisseur du panneau, puis le plier suivant la ligne de rainurage. Cette technique permet de réaliser des retours, angles, joues, caissons et formes pliées dans des panneaux sans traverser complètement la face visible.</p>
<p><strong>Résultat :</strong> la rainure facilite le pliage à 90° ou selon l’angle prévu par le réglage et la géométrie de la fraise. L’angle final dépend de la profondeur, de la largeur, du profil de la rainure, de l’épaisseur du panneau et du revêtement.</p>
<p><strong>Utilisation recommandée :</strong> monter la fraise sur une défonceuse ou une machine compatible, régler la profondeur sur une chute du même panneau, effectuer un essai de pliage et ajuster progressivement. Ne pas couper la face décorative extérieure et prévoir un maintien ou un collage adapté après le pliage.</p>
<p><strong>Marquage visible :</strong> 1/2 × 6 × 21, R1.6. Ces indications doivent être vérifiées avec le produit réel et le diamètre de la queue avant utilisation.</p>
<p><strong>Sécurité :</strong> porter des lunettes et une protection auditive, fixer correctement le panneau, utiliser une vitesse adaptée et ne jamais toucher la fraise pendant sa rotation. Vérifier la compatibilité de la fraise avec le MDF, le high gloss, la machine et le revêtement avant le premier travail.</p>
<hr>
<h3>التفاصيل بالعربية</h3>
<div dir=""rtl"" lang=""ar"">
<p><strong>فرازة لعمل مجرى على شكل حرف V لثني ألواح MDF والألواح اللامعة High Gloss</strong>، مخصصة لإنشاء مجارٍ متقاربة في الجهة الخلفية للوح لتسهيل ثنيه وتكوين زاوية نظيفة مع الحفاظ على الوجه الخارجي المزخرف.</p>
<p>تناسب ألواح MDF وMDF المطلي والألواح اللامعة والألواح الملبسة والميلامين والخشب الرقائقي وغيرها من الألواح الخشبية المتوافقة مع الفرازة وعمق القطع. وهي مفيدة للنجارين وصانعي الأثاث والمطابخ وغرف الملابس والحرفيين.</p>
<p><strong>الوظيفة الأساسية:</strong> إنشاء مجرى أو عدة مجارٍ منتظمة على شكل V لتقليل سماكة اللوح في مكان محدد، ثم ثنيه على خط المجرى لتكوين زاوية أو شكل مطوي من دون اختراق الوجه الظاهر بالكامل.</p>
<p><strong>النتيجة:</strong> يساعد المجرى على الثني بزاوية 90 درجة أو بزاوية أخرى حسب الضبط وشكل الفرازة. تعتمد الزاوية النهائية على عمق القطع وعرض المجرى وسماكة اللوح ونوع الطلاء أو الكسوة.</p>
<p><strong>طريقة الاستعمال:</strong> ثبّت الفرازة على آلة متوافقة، واضبط العمق أولاً على قطعة اختبار من نفس اللوح، ثم جرّب الثني وعدّل العمق تدريجياً. يجب عدم قطع الوجه الخارجي المزخرف بالكامل، مع استعمال تثبيت أو غراء مناسب بعد الثني.</p>
<p><strong>العلامات الظاهرة:</strong> 1/2 × 6 × 21 وR1.6. يجب التأكد من هذه القياسات ومن قطر الساق مع المنتج الحقيقي قبل التشغيل.</p>
<p><strong>السلامة:</strong> ارتدِ نظارات واقية وحماية للسمع، ثبّت اللوح جيداً، استعمل سرعة مناسبة ولا تلمس الفرازة أثناء دورانها. تأكد من توافقها مع MDF واللوح اللامع والآلة والكسوة قبل بدء العمل.</p>
</div></div>";;;https://cdn.converty.shop/images/fb029598156d0c6ee4b293108fbe909b197c837d24bbbc9f35aa801853defe3d_lg.webp
Mini meuleuse pneumatique à renvoi d’angle;PONCEUSE-PNEUMATIQUE-ANGLE;Accessoires utiles;185.000;165.000;5;"<div class=""ck-content""><h2>Mini meuleuse pneumatique à renvoi d’angle</h2>
<p>Outil pneumatique compact conçu pour les travaux de meulage léger, d’ébavurage, de ponçage, de polissage et de préparation de surface. Sa tête à renvoi d’angle facilite l’accès aux zones étroites, aux chants, aux angles et aux endroits difficiles à atteindre avec un outil droit.</p>
<p>Elle convient aux menuisiers, artisans, ateliers de rénovation, travaux de métal et opérations de finition sur le bois, le plastique et certains matériaux adaptés à l’abrasif utilisé.</p>
<p><strong>Applications :</strong> ébavurage de petites pièces, retrait de rouille et de calamine, nettoyage léger de soudures, préparation de surface, finition des chants, ponçage localisé et polissage avec l’accessoire compatible.</p>
<p><strong>Utilisation :</strong> raccorder l’outil à un compresseur d’air équipé d’un raccord compatible, monter un disque, rouleau, tampon de polissage ou une fraise abrasive adapté au modèle, puis travailler progressivement sans forcer sur la pièce.</p>
<p><strong>Avantages :</strong> format compact, accès amélioré dans les espaces confinés, contrôle précis pour les petites retouches et polyvalence pour les travaux de finition. La vitesse, la pression de service, le diamètre de l’accessoire et le type de fixation dépendent du modèle et de l’accessoire utilisé.</p>
<p><strong>Sécurité :</strong> utiliser à sec, porter des lunettes, une protection auditive, un masque adapté et des gants appropriés. Respecter la pression maximale indiquée par le fabricant du modèle et ne jamais utiliser un abrasif endommagé ou incompatible.</p>
<hr>
<h3>التفاصيل بالعربية</h3>
<div dir=""rtl"" lang=""ar"">
<p><strong>جلاخة هوائية صغيرة بزاوية جانبية</strong>، مخصصة لأعمال الجلخ الخفيف وإزالة الزوائد والصنفرة والتلميع وتحضير الأسطح. تساعد الرأس ذات الزاوية على الوصول إلى الأماكن الضيقة والحواف والزوايا التي يصعب الوصول إليها بأداة مستقيمة.</p>
<p>تناسب النجارين والحرفيين وورش الترميم وأعمال المعادن وعمليات التشطيب على الخشب والبلاستيك وبعض المواد المناسبة للأداة الكاشطة.</p>
<p><strong>مجالات الاستعمال:</strong> إزالة الزوائد من القطع الصغيرة، إزالة الصدأ والقشور، تنظيف اللحامات بشكل خفيف، تحضير السطح، تشطيب الحواف، الصنفرة الموضعية والتلميع باستعمال الملحق المناسب.</p>
<p><strong>طريقة الاستعمال:</strong> صِل الأداة بضاغط هواء مزود بوصلة مناسبة، وثبّت القرص أو أسطوانة الصنفرة أو رأس التلميع أو الفرازة الكاشطة المتوافقة مع الطراز، ثم اعمل تدريجياً من دون الضغط القوي على القطعة.</p>
<p><strong>المزايا:</strong> حجم صغير، وصول أفضل إلى الأماكن الضيقة، تحكم مناسب في أعمال التشطيب الصغيرة وتعدد الاستعمالات. تعتمد السرعة وضغط التشغيل وقطر الملحق وطريقة تثبيته على الطراز والملحق المستخدم.</p>
<p><strong>السلامة:</strong> استعملها على الجاف، وارتدِ نظارات واقية وحماية للسمع وقناعاً مناسباً وقفازات ملائمة. احترم أقصى ضغط يحدده المصنع ولا تستعمل أي مادة كاشطة تالفة أو غير متوافقة.</p>
</div></div>";;;https://cdn.converty.shop/images/8d9006d6b5b1344ca619a9a0be9b19eeb58f577d1dd7e2ec2fed6f64a2ca3890_lg.webp
Gabarit push open, d’alignement et de perçage  pour portes de meubles;GABARIT-REGLAGE-CHARNIERE;Accessoires utiles;125.000;85.000;5;"<div class=""ck-content""><h2>Gabarit réglable de montage, d’alignement et de perçage Push Open pour portes de meubles</h2>
<p>Positionneur réglable conçu pour aider les menuisiers, artisans et bricoleurs à installer et aligner les portes de meubles, de cuisines, d’armoires et de dressings.</p>
<p>L’outil maintient la porte ou le panneau pendant le réglage. Il aide à ajuster la hauteur et le niveau, à contrôler les jeux entre la porte et le caisson et à conserver une position stable avant la fixation définitive des charnières et de la porte.</p>
<p><strong>Fonction supplémentaire Push Open :</strong> le guide intégré permet de réaliser un trou de <strong>10 mm</strong> destiné à l’installation d’un poussoir de porte sans poignée, aussi appelé système Push Open ou touch latch, lorsque le poussoir utilisé est prévu pour ce diamètre.</p>
<p><strong>Applications :</strong> montage et remplacement de portes de meubles, réglage de la position d’une porte vers le haut ou vers le bas, alignement des façades et perçage du logement d’un poussoir Push Open avant son installation. L’outil peut faciliter la pose des charnières, mais le perçage de 10 mm concerne le poussoir Push Open et non le logement de la charnière.</p>
<p><strong>Avantages :</strong> positionnement plus rapide, réglage plus précis, maintien stable du panneau et travail plus confortable. Le système réglable permet de l’adapter à différentes configurations de portes et d’épaisseurs de panneaux, sous réserve de compatibilité.</p>
<p><strong>Conseil :</strong> vérifier le diamètre indiqué par le fabricant du poussoir avant de percer. Pour ce modèle, le diamètre documenté est 10 mm. Vérifier également la largeur, l’épaisseur et le poids de la porte, protéger les surfaces fragiles si nécessaire et contrôler l’alignement avant la fixation définitive.</p>
<hr>
<h3>التفاصيل بالعربية</h3>
<div dir=""rtl"" lang=""ar"">
<p><strong>قالب قابل للتعديل لتركيب ومحاذاة الأبواب وحفر فتحة Push Open</strong>، مناسب للنجارين والحرفيين وأصحاب الورش لتركيب وضبط أبواب الخزائن والمطابخ والدواليب وغرف الملابس.</p>
<p>يثبت القالب الباب أو اللوح أثناء الضبط، ويساعد على تعديل الارتفاع والمستوى ومراقبة الفواصل بين الباب والخزانة قبل التثبيت النهائي للمفصلات والباب.</p>
<p><strong>وظيفة Push Open الإضافية:</strong> يحتوي الدليل على فتحة تسمح بحفر ثقب بقطر <strong>10 مم</strong> لتركيب دافع الباب بدون مقبض، المعروف باسم Push Open أو touch latch، عندما يكون الدافع مناسباً لهذا القطر.</p>
<p><strong>مجالات الاستعمال:</strong> تركيب أو استبدال أبواب الأثاث، ضبط موضع الباب إلى الأعلى أو الأسفل، محاذاة الواجهات وحفر مكان دافع Push Open قبل تركيبه. يمكن أن يساعد في تركيب المفصلات، لكن ثقب 10 مم مخصص لدافع Push Open وليس لقاعدة المفصلة.</p>
<p><strong>المزايا:</strong> تركيب أسرع، ضبط أكثر دقة، تثبيت مستقر للوح وعمل أكثر راحة. يسمح التصميم القابل للتعديل باستعماله مع عدة أشكال وسماكات للأبواب، مع ضرورة التأكد من التوافق.</p>
<p><strong>نصيحة:</strong> تحقق من القطر المحدد من طرف الشركة المصنعة للدافع قبل الحفر. القطر الموثق لهذا النوع هو 10 مم. تحقق أيضاً من عرض الباب وسماكته ووزنه، واحمِ الأسطح الحساسة عند الحاجة، وتأكد من المحاذاة قبل التثبيت النهائي.</p>
</div></div>";;;https://cdn.converty.shop/images/2fa2baab23ebaa3dc6118ec2460d01b70eca1ea3f8de7af9883cbb559a5b3c4b_lg.webp
Gabarit réglable de perçage pour vis excentriques et tourillons;GABARIT-CHARNIERE-35MM;Accessoires utiles;185.000;125.000;5;"<h2>Gabarit réglable de perçage pour vis excentriques et tourillons</h2>
<p>Gabarit de perçage et de positionnement conçu pour les menuisiers, artisans et bricoleurs qui assemblent des meubles, caissons, étagères et panneaux en bois.</p>
<p>Il guide les perçages nécessaires aux assemblages démontables avec <strong>vis excentriques de type Minifix / cam lock</strong> et <strong>tourillons</strong>. Ses repères et ses bagues de guidage aident à aligner les trous sur le chant et la face du panneau afin d’obtenir des assemblages réguliers.</p>
<p><strong>Fonctions principales :</strong> perçage et guidage des trous de tourillons, positionnement des perçages pour boulons et vis excentriques, réglage de la position selon l’épaisseur du panneau et répétition du même assemblage sur plusieurs pièces.</p>
<p><strong>Applications :</strong> assemblages bord à bord, bord sur face et bord en angle, fabrication et réparation de meubles, caissons de cuisine, dressing, bibliothèques et mobilier démontable. Selon les douilles et accessoires du kit, les guides peuvent être utilisés avec des diamètres de perçage courants comme 6, 8, 10 et 15 mm.</p>
<p><strong>Avantages :</strong> positionnement plus rapide, trous mieux alignés, assemblages plus propres et travail plus répétitif qu’un perçage manuel. Le système réglable permet de l’adapter à différentes épaisseurs et configurations de panneaux, sous réserve de compatibilité.</p>
<p><strong>Conseil :</strong> vérifier le diamètre des tourillons, des boulons et des boîtiers excentriques ainsi que la composition exacte du kit avant utilisation. Ce produit est destiné aux assemblages de meubles ; ce n’est pas un gabarit de charnières invisibles et il ne sert pas au perçage Push Open.</p>
<hr>
<h3>التفاصيل بالعربية</h3>
<div dir=""rtl"" lang=""ar"">
<p><strong>قالب قابل للتعديل لحفر براغي الإكسنترك والتوابل الخشبية</strong>، مناسب للنجارين والحرفيين وأصحاب الأعمال اليدوية لتجميع الأثاث والخزائن والرفوف والألواح الخشبية.</p>
<p>يوجه القالب الثقوب اللازمة للوصلات القابلة للفك باستعمال <strong>براغي الإكسنترك من نوع Minifix / Cam Lock</strong> و<strong>التوابل الخشبية</strong>. تساعد العلامات وأدلة الحفر على محاذاة الثقوب في حافة اللوح ووجهه للحصول على تجميع منتظم.</p>
<p><strong>الوظائف الرئيسية:</strong> توجيه وحفر ثقوب التوابل، تحديد مواضع ثقوب البراغي والوصلات اللامركزية، ضبط مكان الحفر حسب سماكة اللوح وتكرار نفس الوصلة في عدة قطع.</p>
<p><strong>مجالات الاستعمال:</strong> تجميع الحواف مع بعضها، والحافة مع وجه اللوح، والتجميع بزاوية، إضافة إلى صناعة وإصلاح الأثاث وخزائن المطابخ وغرف الملابس والمكتبات والأثاث القابل للفك. وحسب جلبات ومكونات الطقم، يمكن استعمال أدلة بأقطار شائعة مثل 6 و8 و10 و15 مم.</p>
<p><strong>المزايا:</strong> تحديد أسرع، ثقوب أكثر محاذاة، تجميع أنظف ونتائج متكررة أكثر من الحفر اليدوي. يسمح النظام القابل للتعديل باستعماله مع سماكات وأشكال مختلفة من الألواح، مع ضرورة التأكد من التوافق.</p>
<p><strong>نصيحة:</strong> تحقق من قطر التوابل والبراغي وعلب الإكسنترك ومكونات الطقم قبل الاستعمال. هذا المنتج مخصص لتجميع الأثاث، وليس قالباً للمفصلات المخفية ولا يُستخدم لحفر Push Open.</p>
</div>";;;https://cdn.converty.shop/images/04c3ac85c55adce8874bfe6f52d081d643f56958ebd2309fd1fd1d2e1f02775b_lg.webp
